training_times,aggregation_times,update_times,epoch_times,total_time
131.967382645607,0.0030012130737304688,0.0,162.74820160865784,2932.5076274871826
141.21079471111298,0.003000974655151367,0.0,173.33915281295776,2932.5076274871826
150.68028643131257,0.002003192901611328,0.0009980201721191406,186.29585075378418,2932.5076274871826
103.56688613891602,0.0020034313201904297,0.0,132.72305560112,2932.5076274871826
101.59669342041016,0.0020051002502441406,0.000995635986328125,130.99697041511536,2932.5076274871826
113.24345920085906,0.002001523971557617,0.00099945068359375,144.41630148887634,2932.5076274871826
114.67216508388519,0.003000497817993164,0.0,144.48653626441956,2932.5076274871826
102.64511723518372,0.0020024776458740234,0.0010008811950683594,131.6813085079193,2932.5076274871826
104.5185362815857,0.003003358840942383,0.0,133.93081045150757,2932.5076274871826
107.96979167461396,0.002004861831665039,0.0009975433349609375,137.3081693649292,2932.5076274871826
118.01351208686829,0.003000974655151367,0.0,148.35264611244202,2932.5076274871826
115.78165037631989,0.003003358840942383,0.0009975433349609375,148.0007815361023,2932.5076274871826
107.33492596149445,0.003000497817993164,0.0,136.23792624473572,2932.5076274871826
105.3231305360794,0.0030012130737304688,0.0,134.463965177536,2932.5076274871826
138.8835057735443,0.003000974655151367,0.0,171.4868369102478,2932.5076274871826
106.05255010128022,0.003002643585205078,0.0,135.06109523773193,2932.5076274871826
100.72541162967681,0.0020034313201904297,0.0,130.33694291114807,2932.5076274871826
108.27977082729339,0.003000974655151367,0.0,137.32878637313843,2932.5076274871826
122.17622282505036,0.0030007362365722656,0.0,154.96278524398804,2932.5076274871826
126.1202422618866,0.0030024051666259766,0.0,157.9013979434967,2932.5076274871826
