acc_score,loss_score
37.978,1.5120117099580033
54.036,1.1054977143783198
64.074,0.8439270775725207
69.172,0.65489812502595
74.12,0.5162623245886622
76.386,0.4171714192975006
79.058,0.34870012249560234
80.758,0.29828571784851676
82.662,0.2557020804977864
84.16,0.228691226595832
85.196,0.20546334434166807
86.752,0.1898755001747737
88.014,0.17175593440837472
89.118,0.15724880326789797
90.14,0.14492238567470558
90.842,0.1332361079262782
91.668,0.12870790617309763
92.108,0.12070353454367833
92.624,0.10591699593784795
93.258,0.10743550560905998
