acc_score,loss_score
51.848,0.7939683744835452
56.136,0.46250823398956104
56.64,0.4400841402755786
60.736,0.41834645534532333
63.3,0.3986063286290099
64.88,0.3796802135169764
69.16,0.3624594221170462
70.364,0.3511962405843506
72.284,0.32890683851375824
72.72,0.3136717142610227
76.224,0.2956764480492051
76.744,0.2815373096529234
78.26,0.256426632854723
78.868,0.2481410976518233
79.444,0.24209314275783517
77.376,0.230312995392224
79.388,0.2191346267702788
80.94,0.21373225535845655
80.448,0.20204377489107267
80.428,0.19393984111477325
