acc_score,loss_score
30.748,1.4973848541852053
52.478,1.1057448738571172
61.236,0.8612449354226956
68.164,0.6787306148391861
71.97,0.5414541842542296
74.228,0.43688229777453147
77.01,0.36176411749126164
79.498,0.3058087935240725
81.124,0.26798256073699606
82.38,0.23811596967740015
83.988,0.21284672330910176
85.386,0.19287147269127453
85.872,0.17963601628336207
87.094,0.16492670560547598
88.31,0.14856990457831004
88.998,0.14209442155746446
89.72,0.13172000874103693
90.178,0.12265197183588228
90.838,0.11465660857843993
91.33,0.11182827903749464
