acc_score,loss_score
50.916,0.8111982032829064
53.096,0.4956735990238837
57.692,0.47638239116397774
58.872,0.44664982072885256
59.248,0.41706566125493405
64.736,0.39158720322761315
66.008,0.37030296658626716
71.136,0.3488204750243046
71.872,0.3329845491028662
72.832,0.30957090324919073
77.076,0.29861507138303595
77.492,0.2836858394848986
78.46,0.2661692498486232
79.608,0.25961943750670013
78.64,0.2530099508562361
79.744,0.23953063764642907
79.244,0.22763304029150105
80.744,0.22187217693738592
80.592,0.2105965441068832
80.392,0.20659863584300342
