training_times,aggregation_times,update_times,epoch_times,total_time
165.67224860191345,0.00400090217590332,0.0010004043579101562,290.647891998291,7280.42710018158
162.5932867527008,0.004001140594482422,0.0010006427764892578,285.62045073509216,7280.42710018158
167.66560356616975,0.004001140594482422,0.0010004043579101562,294.05173230171204,7280.42710018158
166.1214788198471,0.00400090217590332,0.0,294.0111892223358,7280.42710018158
166.61386637687684,0.005001544952392578,0.0,293.97279953956604,7280.42710018158
167.58686511516572,0.00400090217590332,0.001003265380859375,293.0436010360718,7280.42710018158
165.82870495319366,0.0050013065338134766,0.0,294.3058660030365,7280.42710018158
165.06876747608186,0.004002809524536133,0.0010037422180175781,293.6534423828125,7280.42710018158
166.61950948238373,0.0050013065338134766,0.0,290.38436102867126,7280.42710018158
165.50499563217164,0.004001140594482422,0.0,290.08939266204834,7280.42710018158
168.29125661849974,0.004003047943115234,0.0009980201721191406,291.9861195087433,7280.42710018158
166.39604659080504,0.00400090217590332,0.0010013580322265625,295.10604214668274,7280.42710018158
165.06893980503082,0.0040013790130615234,0.001001119613647461,293.6661112308502,7280.42710018158
167.6490106344223,0.004001140594482422,0.0,296.8825342655182,7280.42710018158
165.70172042846679,0.004001617431640625,0.0010039806365966797,292.77381324768066,7280.42710018158
167.10985672473907,0.00400090217590332,0.0010004043579101562,293.17553186416626,7280.42710018158
166.32195665836335,0.005001544952392578,0.0,294.60781502723694,7280.42710018158
169.0509356021881,0.0030014514923095703,0.0,295.68828201293945,7280.42710018158
164.80728068351746,0.005001544952392578,0.0,292.4157769680023,7280.42710018158
165.08560061454773,0.0040013790130615234,0.0,293.3174705505371,7280.42710018158
